price,carat,city,depth,table,x,y,z,cut,color,clarity
2553,0.8,Kimberly,63.2,54.0,5.93,5.88,3.73,Very Good,H,SI1
14208,2.0,Dubai,61.3,59.0,8.13,8.09,4.97,Premium,I,SI2
2858,0.71,Antwerp,63.5,59.0,5.68,5.59,3.58,Very Good,E,VS2
5292,1.0,Zurich,60.3,58.0,6.47,6.43,3.89,Premium,F,SI1
1240,0.5,Surat,62.4,57.0,5.07,5.03,3.15,Ideal,E,SI2
1875,0.51,Kimberly,61.3,57.0,5.12,5.15,3.15,Ideal,G,VVS2
3861,1.04,Kimberly,62.2,59.0,6.57,6.49,4.06,Premium,G,SI2
2587,0.64,Antwerp,61.8,54.0,5.53,5.56,3.42,Ideal,G,VVS2
3648,0.8,Surat,62.2,57.0,5.95,5.98,3.71,Ideal,E,VS2
552,0.3,London,61.9,56.0,4.28,4.31,2.66,Ideal,D,SI1
866,0.38,Kimberly,61.8,58.0,4.61,4.64,2.86,Premium,E,VS2
625,0.31,Antwerp,62.1,55.0,4.33,4.37,2.7,Ideal,G,VS1
3830,1.0,New York City,55.2,64.0,6.69,6.64,3.68,Fair,H,SI1
3184,0.78,Surat,61.7,55.0,5.94,5.89,3.65,Ideal,G,VS2
5671,1.0,Zurich,59.8,59.0,6.47,6.51,3.88,Very Good,D,SI1
2399,0.7,New York City,60.3,63.0,5.77,5.73,3.47,Very Good,H,VS1
1688,0.64,Antwerp,60.7,59.0,5.51,5.59,3.37,Very Good,F,SI1
513,0.31,Surat,61.3,55.6,4.37,4.4,2.69,Ideal,I,VS1
1549,0.52,London,61.9,55.0,5.15,5.18,3.2,Ideal,G,VS2
1002,0.33,London,62.6,57.0,4.42,4.4,2.76,Ideal,E,VS1
878,0.3,Tel Aviv,63.4,57.0,4.31,4.27,2.72,Very Good,H,VVS1
3679,1.0,Luxembourg,63.9,60.0,6.26,6.19,3.98,Good,J,SI1
495,0.3,Tel Aviv,60.3,57.0,4.39,4.36,2.64,Ideal,E,I1
1221,0.47,New York City,61.8,58.0,4.99,4.94,3.07,Premium,H,VS1
13839,1.59,Surat,60.7,56.0,7.54,7.58,4.59,Ideal,H,VS1
5113,1.01,Dubai,63.7,60.0,6.32,6.28,4.01,Good,G,SI1
628,0.34,Kimberly,62.6,56.0,4.48,4.46,2.8,Ideal,H,SI1
816,0.31,Zurich,60.8,57.0,4.36,4.39,2.66,Ideal,E,VVS2
3434,0.74,Kimberly,61.2,56.0,5.82,5.85,3.57,Ideal,G,VS2
854,0.33,Surat,62.6,55.0,4.42,4.4,2.76,Ideal,F,VS2
5455,1.08,London,61.8,54.0,6.6,6.57,4.07,Ideal,I,VS2
2898,0.79,Dubai,62.3,57.0,5.9,5.85,3.66,Ideal,G,SI1
776,0.3,Madrid,61.5,57.0,4.34,4.31,2.66,Ideal,H,VVS2
7887,1.33,Zurich,62.2,56.0,7.01,7.04,4.37,Ideal,I,VVS2
1008,0.51,Kimberly,61.2,55.0,5.19,5.21,3.18,Very Good,H,SI1
1342,0.58,Surat,61.2,57.0,5.36,5.4,3.29,Ideal,D,SI2
7623,1.22,Tel Aviv,62.0,58.0,6.81,6.86,4.24,Ideal,H,VS2
2440,0.78,London,63.7,60.0,5.77,5.73,3.66,Good,H,VS2
11152,1.62,Surat,60.8,56.0,7.56,7.61,4.62,Ideal,I,VS1
14456,1.65,Antwerp,60.8,56.0,7.65,7.7,4.67,Ideal,G,VS2
1975,0.55,New York City,61.2,56.4,5.28,5.33,3.25,Very Good,F,VS1
9801,1.64,Dubai,60.7,55.0,7.67,7.64,4.65,Ideal,E,SI1
658,0.3,New York City,62.5,59.0,4.27,4.3,2.68,Premium,E,VS2
1076,0.41,Paris,61.7,56.0,4.81,4.78,2.96,Ideal,D,VS2
752,0.3,Antwerp,62.4,58.0,4.26,4.3,2.67,Premium,D,VVS2
6121,1.1,Surat,59.6,60.0,6.72,6.7,4.0,Premium,G,VS2
4401,1.03,Paris,63.3,57.0,6.37,6.46,4.06,Ideal,I,SI1
416,0.3,Tel Aviv,64.8,58.0,4.24,4.16,2.72,Fair,J,VS2
4227,1.02,New York City,62.7,58.0,6.44,6.41,4.03,Premium,I,SI1
1915,0.56,London,61.8,56.0,5.31,5.28,3.27,Premium,E,VS2
14976,1.51,Antwerp,62.6,57.0,7.25,7.29,4.55,Very Good,F,VS1
4536,1.13,Surat,61.8,59.0,6.65,6.68,4.12,Premium,I,SI1
589,0.34,Paris,61.9,57.0,4.48,4.44,2.76,Ideal,I,SI1
4157,1.16,Luxembourg,58.8,61.0,6.93,6.84,4.05,Premium,H,SI2
752,0.38,Kimberly,59.7,57.0,4.73,4.79,2.84,Very Good,F,VS2
5105,1.03,Antwerp,60.5,60.0,6.52,6.48,3.93,Premium,G,SI1
3715,0.9,Amsterdam,62.2,54.0,6.13,6.21,3.84,Very Good,E,SI2
1415,0.5,Las Vegas,62.8,58.0,5.02,5.05,3.16,Very Good,D,SI1
499,0.3,Tel Aviv,62.2,54.2,4.31,4.34,2.69,Ideal,F,SI1
2787,0.64,Zurich,61.5,56.0,5.54,5.55,3.41,Ideal,D,VS1
2996,0.91,Surat,65.3,51.0,6.05,5.98,3.93,Fair,F,SI2
10485,1.24,Luxembourg,60.4,59.0,7.02,7.01,4.24,Premium,G,VVS1
16329,2.3,Madrid,61.8,57.0,8.48,8.45,5.23,Ideal,I,SI2
603,0.27,Kimberly,61.6,56.0,4.17,4.14,2.56,Ideal,E,VS1
3864,1.0,Antwerp,59.6,61.0,6.4,6.36,3.8,Premium,J,VVS2
2443,0.71,Kimberly,62.9,56.0,5.73,5.68,3.59,Ideal,G,VS2
810,0.36,Kimberly,60.8,59.0,4.59,4.56,2.78,Premium,E,SI1
593,0.31,Surat,62.1,57.0,4.34,4.32,2.69,Ideal,D,SI2
3988,0.93,Antwerp,62.8,56.0,6.19,6.27,3.91,Ideal,H,SI1
652,0.33,London,61.8,61.0,4.4,4.44,2.73,Good,D,VS2
9664,1.77,Surat,62.7,59.0,7.67,7.66,4.8,Premium,G,SI2
5223,1.06,Tel Aviv,62.2,55.0,6.51,6.54,4.06,Ideal,E,SI2
5226,1.21,New York City,62.1,57.0,6.8,6.85,4.24,Ideal,G,SI2
826,0.3,Kimberly,62.3,55.0,4.29,4.32,2.68,Ideal,E,VVS1
6401,1.27,Surat,62.6,57.0,6.92,6.88,4.32,Ideal,I,VS2
4168,0.92,Amsterdam,62.4,60.0,6.21,6.25,3.89,Very Good,D,SI2
489,0.31,Madrid,61.9,54.0,4.34,4.38,2.7,Ideal,I,VS1
18561,2.01,Zurich,57.8,60.0,8.29,8.35,4.81,Good,H,VS2
14674,1.51,Surat,61.9,57.0,7.37,7.34,4.55,Ideal,G,VS1
18358,1.83,Luxembourg,60.5,59.0,7.89,7.99,4.8,Very Good,G,VS2
933,0.38,Madrid,62.4,59.0,4.57,4.63,2.87,Premium,F,VS1
445,0.23,Antwerp,61.3,59.0,3.94,3.99,2.43,Premium,F,VVS2
3610,0.92,Surat,62.1,55.0,6.24,6.29,3.89,Ideal,I,SI1
12069,1.5,Antwerp,62.4,58.0,7.27,7.31,4.55,Premium,D,SI1
645,0.32,Madrid,62.1,55.0,4.41,4.44,2.75,Very Good,G,VS1
4372,1.0,New York City,61.2,57.0,6.39,6.48,3.94,Ideal,F,SI2
779,0.31,Kimberly,59.4,57.0,4.39,4.43,2.62,Very Good,F,VVS1
1350,0.52,Paris,58.7,64.0,5.24,5.26,3.08,Good,F,SI2
14998,2.01,Paris,62.5,53.9,8.04,8.07,5.04,Ideal,H,SI2
565,0.31,Surat,62.2,55.0,4.32,4.36,2.7,Ideal,G,VVS2
2086,0.77,Las Vegas,61.0,59.0,5.94,5.99,3.64,Very Good,J,SI1
4537,1.13,London,59.8,59.0,6.75,6.82,4.06,Very Good,H,SI2
589,0.32,New York City,62.6,55.0,4.36,4.39,2.74,Ideal,D,SI1
16957,2.07,Paris,61.2,58.0,8.24,8.19,5.03,Premium,E,SI1
2443,0.71,Kimberly,60.3,59.0,5.79,5.76,3.48,Premium,G,VS2
7275,1.11,Kimberly,60.4,58.0,6.73,6.66,4.04,Ideal,F,VS2
4541,1.02,Surat,61.1,59.0,6.45,6.41,3.93,Premium,F,SI2
11636,1.56,London,61.5,56.0,7.5,7.46,4.6,Ideal,H,VS2
457,0.34,Amsterdam,61.6,56.0,4.47,4.51,2.76,Very Good,I,VS2
3215,0.96,Amsterdam,62.7,60.0,6.29,6.11,3.89,Premium,G,SI2
942,0.31,New York City,62.3,55.0,4.35,4.32,2.7,Premium,D,VS2
2060,0.64,Las Vegas,60.4,62.0,5.54,5.58,3.36,Very Good,G,VS1
7882,1.01,Kimberly,62.5,58.0,6.41,6.35,3.99,Premium,F,VVS1
706,0.35,Antwerp,62.5,57.0,4.48,4.54,2.82,Ideal,H,VVS2
2373,0.7,Kimberly,62.5,60.0,5.66,5.61,3.52,Premium,F,SI2
675,0.3,London,62.1,54.0,4.35,4.32,2.69,Ideal,H,VS1
3137,0.71,Antwerp,61.1,56.0,5.78,5.81,3.53,Ideal,H,VVS1
871,0.31,Dubai,61.1,57.0,4.38,4.42,2.68,Ideal,G,IF
9072,2.25,Kimberly,61.4,54.0,8.52,8.46,5.21,Ideal,E,I1
5088,1.18,Las Vegas,62.8,56.0,6.74,6.71,4.22,Premium,I,SI1
6409,1.22,Tel Aviv,63.2,58.0,6.82,6.76,4.29,Very Good,G,SI2
12830,1.72,Surat,62.8,57.0,7.65,7.58,4.78,Ideal,G,VS2
18394,2.01,Las Vegas,61.7,56.0,8.12,8.16,5.02,Ideal,F,SI2
5581,1.03,Surat,60.1,60.0,6.55,6.52,3.93,Premium,G,SI1
2671,0.7,Madrid,62.0,56.0,5.71,5.74,3.55,Ideal,F,VS2
5379,1.01,Amsterdam,64.3,59.0,6.23,6.28,4.02,Good,E,SI1
5242,1.0,Paris,64.6,59.0,6.3,6.26,4.06,Fair,H,VS1
10487,1.1,Surat,61.2,56.0,6.66,6.74,4.1,Ideal,F,VVS2
4208,0.59,Surat,60.9,57.0,5.4,5.43,3.3,Ideal,D,IF
608,0.3,Surat,63.5,59.0,4.27,4.2,2.69,Very Good,H,VS2
1930,0.56,New York City,61.3,55.0,5.29,5.32,3.25,Ideal,E,VS1
3936,0.9,Amsterdam,61.7,62.0,6.19,6.13,3.8,Premium,F,SI1
1732,0.57,Madrid,60.7,58.0,5.37,5.33,3.25,Very Good,E,VS2
2328,0.72,Luxembourg,61.2,57.0,5.76,5.8,3.54,Ideal,D,SI2
3511,1.0,Kimberly,65.5,57.0,6.26,6.21,4.08,Fair,H,SI1
1043,0.4,Zurich,62.1,53.0,4.75,4.79,2.96,Ideal,G,VVS1
4831,1.22,Amsterdam,62.3,58.0,6.8,6.85,4.25,Premium,I,SI2
8955,1.02,Madrid,62.3,57.0,6.43,6.5,4.03,Ideal,G,IF
5625,1.08,New York City,61.8,56.0,6.59,6.55,4.06,Ideal,H,VS2
1052,0.33,Kimberly,60.8,58.0,4.46,4.42,2.7,Premium,G,IF
1167,0.42,Amsterdam,59.8,56.0,4.9,4.92,2.94,Very Good,E,VVS2
6597,1.36,Paris,62.8,53.0,7.05,7.1,4.45,Very Good,F,SI1
2088,0.58,London,62.1,56.0,5.38,5.32,3.32,Ideal,F,VS1
4964,1.02,London,63.6,58.0,6.34,6.39,4.05,Good,G,SI1
6937,1.19,Paris,57.4,60.0,6.9,7.0,3.99,Good,E,VS2
15394,2.01,Dubai,64.6,55.0,7.85,7.98,5.11,Good,D,SI2
4915,1.15,Luxembourg,63.1,63.0,6.67,6.57,4.18,Very Good,F,SI2
2853,0.79,Amsterdam,60.0,60.0,6.07,6.03,3.63,Premium,D,SI2
842,0.32,Amsterdam,62.9,59.0,4.39,4.36,2.75,Premium,D,VS2
749,0.31,Tel Aviv,61.6,56.0,4.38,4.35,2.69,Ideal,F,VS2
1813,0.54,Kimberly,61.0,58.0,5.24,5.25,3.2,Very Good,F,VS1
1627,0.5,Kimberly,62.8,60.0,5.02,5.08,3.17,Very Good,D,VS2
11416,1.86,Surat,62.3,57.0,7.82,7.85,4.88,Very Good,H,SI2
5447,1.04,Paris,60.9,58.0,6.5,6.6,3.99,Very Good,H,VS2
10581,1.41,Las Vegas,60.8,55.0,7.27,7.2,4.4,Ideal,G,VS2
499,0.3,Tel Aviv,61.6,54.0,4.32,4.35,2.67,Ideal,E,SI1
610,0.33,Antwerp,61.6,55.0,4.46,4.48,2.75,Ideal,H,VS1
6055,1.06,Zurich,62.7,54.0,6.55,6.52,4.1,Ideal,D,SI1
372,0.31,Kimberly,62.0,54.1,4.32,4.35,2.69,Ideal,I,SI2
3344,0.91,Antwerp,64.3,60.0,6.04,6.12,3.91,Good,G,SI1
2083,0.75,Tel Aviv,62.4,56.0,5.78,5.82,3.62,Very Good,J,SI1
886,0.3,Surat,62.1,57.0,4.26,4.3,2.66,Very Good,F,IF
1582,0.41,Luxembourg,60.6,57.0,4.82,4.79,2.91,Ideal,D,VVS1
3083,1.01,Surat,59.4,62.0,6.47,6.43,3.83,Premium,H,SI2
7657,1.02,Tel Aviv,63.0,58.0,6.4,6.43,4.04,Very Good,G,VVS1
527,0.27,Las Vegas,62.3,53.0,4.16,4.19,2.6,Ideal,G,VS1
2196,0.7,Madrid,62.6,56.0,5.66,5.72,3.56,Very Good,F,SI1
9297,1.51,Surat,62.3,57.0,7.28,7.37,4.56,Ideal,I,VS2
13703,2.22,Madrid,62.8,57.0,8.33,8.29,5.22,Ideal,J,SI2
1422,0.54,London,62.7,58.0,5.21,5.25,3.28,Premium,G,VS2
5283,1.23,Amsterdam,58.9,58.0,6.99,6.97,4.11,Premium,D,SI2
3795,0.9,London,63.9,57.0,6.12,6.08,3.9,Good,E,SI1
2882,0.88,Madrid,56.6,65.0,6.39,6.32,3.6,Fair,F,SI1
2208,0.7,Paris,58.6,56.0,5.8,5.74,3.38,Fair,G,SI2
558,0.31,Zurich,62.7,58.0,4.34,4.31,2.71,Premium,H,SI1
6371,1.25,Amsterdam,61.1,55.0,6.95,6.99,4.26,Ideal,G,SI2
4242,1.01,Tel Aviv,59.1,59.0,6.55,6.51,3.86,Premium,G,SI2
506,0.3,Surat,63.5,57.0,4.25,4.22,2.69,Very Good,F,SI2
487,0.28,London,59.5,59.0,4.29,4.35,2.57,Very Good,E,VS1
1227,0.51,Kimberly,61.1,59.0,5.15,5.09,3.13,Premium,F,SI2
1232,0.52,Surat,61.9,58.0,5.14,5.17,3.19,Ideal,I,VS2
2153,0.52,Zurich,59.2,58.0,5.31,5.28,3.14,Premium,G,VVS1
447,0.3,Kimberly,63.3,57.0,4.26,4.3,2.71,Good,D,SI2
1398,0.51,Kimberly,62.2,58.0,5.08,5.11,3.17,Very Good,D,SI1
1241,0.42,Zurich,62.8,59.0,4.76,4.73,2.98,Premium,D,VVS2
14749,1.82,Kimberly,61.6,60.0,7.78,7.74,4.78,Premium,H,VS2
2845,0.7,Surat,58.9,60.0,5.83,5.85,3.44,Very Good,E,VS2
12207,1.37,New York City,62.3,55.5,7.05,7.14,4.43,Ideal,G,VVS2
4095,1.0,Luxembourg,62.7,59.0,6.3,6.36,3.97,Premium,G,SI2
5722,1.2,Kimberly,61.1,57.0,6.83,6.86,4.18,Ideal,G,SI2
7964,1.01,Antwerp,62.0,59.0,6.42,6.38,3.97,Premium,E,VS1
1035,0.5,London,61.7,58.0,5.07,5.11,3.14,Ideal,H,SI1
7744,1.0,Surat,60.4,59.0,6.51,6.54,3.94,Premium,E,VS1
1061,0.31,Las Vegas,61.4,56.0,4.38,4.41,2.7,Ideal,F,IF
845,0.4,Amsterdam,63.3,58.0,4.63,4.66,2.94,Very Good,D,VS2
544,0.32,Madrid,62.3,55.0,4.38,4.41,2.73,Very Good,G,VS2
14578,1.54,Surat,62.4,59.0,7.43,7.38,4.62,Premium,F,VS2
2964,1.05,Amsterdam,61.4,58.0,6.53,6.46,3.99,Premium,E,I1
5821,1.05,Las Vegas,61.9,59.0,6.56,6.52,4.05,Premium,G,VS2
6028,1.0,Luxembourg,63.9,55.0,6.34,6.28,4.03,Good,G,VS1
608,0.3,Dubai,63.3,59.0,4.23,4.2,2.67,Very Good,I,VS1
658,0.3,Paris,62.4,57.0,4.24,4.26,2.65,Very Good,E,VS2
7492,1.0,Kimberly,60.9,56.0,6.49,6.52,3.96,Good,G,VVS2
1092,0.39,Antwerp,60.6,55.0,4.77,4.73,2.88,Premium,F,VS1
462,0.31,Surat,63.0,56.0,4.3,4.34,2.72,Very Good,G,SI1
435,0.31,Amsterdam,61.8,58.0,4.35,4.39,2.7,Premium,G,VS2
1646,0.6,London,61.5,58.0,5.38,5.41,3.32,Ideal,F,SI1
523,0.31,Tel Aviv,60.5,57.0,4.4,4.36,2.65,Ideal,G,SI2
710,0.3,Kimberly,62.6,61.0,4.22,4.25,2.65,Very Good,D,VS2
1230,0.41,Surat,62.1,55.0,4.79,4.74,2.96,Ideal,G,VVS1
621,0.33,Antwerp,60.3,58.0,4.5,4.52,2.72,Premium,G,VS1
2895,0.7,London,61.8,59.0,5.66,5.76,3.53,Very Good,F,VS1
707,0.28,Las Vegas,62.1,57.0,4.17,4.21,2.6,Very Good,E,VVS1
1995,0.7,Antwerp,63.3,55.0,5.64,5.6,3.56,Very Good,I,VS1
952,0.35,Surat,60.8,57.0,4.61,4.57,2.79,Ideal,D,VS1
5622,1.0,Kimberly,61.0,57.0,6.47,6.44,3.94,Ideal,G,SI1
4150,0.76,Paris,60.6,60.0,5.89,5.85,3.56,Premium,F,IF
3634,1.0,Zurich,43.0,59.0,6.32,6.27,3.97,Fair,G,SI1
4844,1.0,Surat,62.6,59.0,6.29,6.33,3.95,Very Good,G,SI1
4177,1.03,Dubai,57.6,58.0,6.6,6.67,3.82,Good,D,SI2
576,0.25,Luxembourg,62.0,59.0,3.99,4.04,2.49,Very Good,F,VVS2
5347,1.1,Kimberly,60.5,57.0,6.73,6.7,4.06,Ideal,H,VS2
7708,1.03,Paris,61.7,56.0,6.45,6.56,4.0,Ideal,G,VVS1
4173,1.14,Antwerp,63.3,55.0,6.6,6.67,4.2,Very Good,J,SI1
10144,1.1,Dubai,61.9,56.0,6.58,6.61,4.09,Ideal,D,VS1
2351,0.73,Luxembourg,60.5,57.0,5.84,5.8,3.52,Premium,F,SI2
2487,0.71,Surat,60.3,59.0,5.75,5.79,3.48,Ideal,H,VS1
4407,0.7,Kimberly,61.0,61.0,5.69,5.72,3.48,Good,D,VVS1
12255,1.33,Antwerp,62.2,54.0,7.02,7.06,4.38,Ideal,G,VVS1
5506,1.15,Antwerp,62.0,58.0,6.77,6.66,4.16,Premium,H,SI1
2896,0.53,Zurich,61.6,56.0,5.18,5.24,3.21,Ideal,F,VVS1
6149,1.3,New York City,61.1,58.0,6.98,7.02,4.28,Very Good,F,SI2
8693,1.05,New York City,61.3,59.0,6.56,6.48,4.0,Premium,F,VVS2
1608,0.57,Paris,59.7,59.0,5.37,5.41,3.22,Premium,G,VS2
1885,0.63,Las Vegas,62.8,57.0,5.4,5.46,3.41,Very Good,D,SI1
3638,0.91,Surat,60.3,59.0,6.28,6.25,3.78,Very Good,E,SI2
8693,1.2,Kimberly,61.6,60.0,6.78,6.72,4.16,Premium,D,VS2
5077,1.01,Antwerp,63.0,61.0,6.42,6.37,4.03,Premium,E,SI1
5161,1.05,Zurich,59.3,58.0,6.65,6.61,3.93,Premium,H,SI1
641,0.34,Kimberly,62.2,55.0,4.47,4.5,2.79,Ideal,F,VS2
5439,1.19,Antwerp,61.7,57.0,6.84,6.77,4.2,Premium,I,VS2
1720,0.52,Surat,58.7,58.0,5.32,5.28,3.11,Premium,D,SI1
942,0.53,Paris,63.6,58.0,5.08,5.11,3.24,Good,I,SI2
9625,1.11,Amsterdam,61.0,57.0,6.65,6.7,4.08,Ideal,E,VS2
918,0.32,New York City,61.1,57.0,4.41,4.43,2.7,Ideal,G,IF
807,0.36,Antwerp,61.5,55.0,4.6,4.57,2.82,Ideal,F,VS2
4454,1.03,Madrid,61.8,56.0,6.49,6.46,4.0,Ideal,F,SI2
668,0.33,London,59.5,60.0,4.54,4.5,2.69,Premium,I,VS1
2956,0.7,Paris,62.4,57.0,5.67,5.71,3.55,Very Good,F,VS2
900,0.32,London,62.0,55.0,4.46,4.38,2.74,Ideal,E,VS2
17476,2.01,Antwerp,60.1,60.0,8.25,8.2,4.94,Very Good,H,SI1
645,0.32,Las Vegas,61.2,56.0,4.39,4.43,2.7,Ideal,G,VS1
3246,0.9,London,64.1,56.0,6.12,6.08,3.91,Good,G,SI2
7781,1.08,Tel Aviv,61.0,57.0,6.61,6.68,4.06,Ideal,F,VS2
907,0.31,Las Vegas,61.8,57.0,4.35,4.32,2.68,Ideal,H,VVS1
5241,1.02,Antwerp,61.8,58.0,6.49,6.43,3.99,Premium,H,VS2
984,0.35,Surat,61.6,55.0,4.54,4.49,2.78,Ideal,E,VS2
586,0.32,Dubai,60.9,55.0,4.46,4.53,2.72,Ideal,F,SI1
14659,2.53,Surat,62.6,60.0,8.66,8.55,5.39,Premium,H,SI2
1668,0.55,Kimberly,61.4,55.0,5.29,5.26,3.24,Ideal,E,SI1
2211,0.58,Kimberly,61.6,57.0,5.34,5.37,3.3,Ideal,H,IF
1622,0.52,Amsterdam,60.6,58.0,5.23,5.2,3.16,Premium,E,VS2
3380,0.7,Zurich,58.5,62.0,5.8,5.82,3.4,Good,G,VVS1
1401,0.52,Paris,61.3,55.0,5.2,5.24,3.2,Ideal,H,VS2
764,0.3,Las Vegas,62.7,54.0,4.3,4.34,2.71,Ideal,G,VVS1
3041,0.71,New York City,61.7,55.0,5.73,5.77,3.55,Ideal,F,VS1
917,0.4,Kimberly,62.6,53.0,4.72,4.77,2.97,Ideal,G,VVS2
2611,1.02,Kimberly,61.6,55.0,6.49,6.43,3.98,Ideal,J,SI2
810,0.33,New York City,62.5,59.0,4.4,4.47,2.77,Very Good,F,VVS2
4616,1.01,Surat,62.9,59.0,6.32,6.27,3.96,Premium,F,SI2
717,0.32,Surat,62.0,55.0,4.38,4.42,2.73,Very Good,F,VVS2
14256,1.5,London,62.1,60.0,7.27,7.31,4.53,Very Good,E,VS2
6058,1.02,Kimberly,63.2,57.0,6.38,6.41,4.04,Good,G,VS2
1129,0.33,Paris,61.9,57.0,4.41,4.45,2.74,Ideal,E,IF
2134,0.65,Kimberly,60.5,58.0,5.61,5.57,3.38,Premium,D,SI1
873,0.3,Dubai,59.8,58.0,4.37,4.46,2.64,Ideal,F,IF
5529,1.21,Luxembourg,60.3,58.0,6.96,6.9,4.18,Premium,G,SI2
2487,0.7,Kimberly,62.7,54.0,5.65,5.69,3.55,Ideal,I,VVS2
1443,0.51,Kimberly,61.3,59.0,5.17,5.11,3.15,Premium,G,VS2
16921,1.54,Antwerp,62.7,59.0,7.33,7.29,4.58,Premium,D,VS2
792,0.43,Madrid,61.6,59.0,4.83,4.87,2.99,Very Good,F,SI1
780,0.33,Tel Aviv,61.9,60.0,4.44,4.41,2.74,Premium,I,VVS1
3972,0.9,London,62.4,61.0,6.05,6.09,3.79,Good,I,VVS1
1015,0.41,Amsterdam,63.2,56.0,4.74,4.72,2.99,Very Good,E,SI1
871,0.31,Tel Aviv,61.9,56.0,4.33,4.35,2.68,Ideal,G,IF
11650,1.54,Tel Aviv,58.8,60.0,7.54,7.59,4.45,Very Good,F,SI1
6709,1.04,New York City,62.5,57.0,6.49,6.46,4.05,Ideal,G,VS2
2054,0.62,Dubai,61.7,54.0,5.53,5.49,3.4,Ideal,E,SI1
4304,0.9,Antwerp,63.5,57.0,6.15,6.11,3.89,Very Good,D,SI1
651,0.36,Dubai,61.5,55.0,4.59,4.62,2.83,Ideal,H,VS1
1114,0.3,Madrid,62.1,55.0,4.32,4.31,2.68,Ideal,F,VVS1
7722,1.4,Amsterdam,61.6,59.0,7.22,7.17,4.43,Premium,I,VS1
10255,1.7,Antwerp,60.8,56.0,7.67,7.72,4.68,Very Good,H,SI2
666,0.33,Madrid,61.8,56.0,4.42,4.45,2.74,Ideal,G,VS1
7345,1.06,Kimberly,61.9,57.0,6.53,6.55,4.05,Ideal,F,VS1
702,0.4,Kimberly,59.2,61.0,4.78,4.81,2.84,Very Good,G,SI1
4624,1.1,Paris,60.1,57.0,6.77,6.74,4.06,Ideal,J,SI2
3226,0.9,Kimberly,65.5,57.0,6.05,6.01,3.95,Fair,H,VS2
730,0.32,Zurich,61.2,59.0,4.39,4.44,2.7,Premium,G,VVS2
1002,0.33,Tel Aviv,62.7,57.0,4.45,4.38,2.77,Ideal,E,VS1
2523,0.73,Luxembourg,63.3,60.0,5.65,5.7,3.59,Very Good,E,SI1
